CaseId,CustomerId,Subject,Category,Channel,Priority,Status,SatisfactionScore,CreatedDate,ResolvedDate
CASE-500524,CUST-10741,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Telefone,Critical,Resolved,1,2024-03-31T14:15:00Z,2024-04-05T14:15:00Z
CASE-500491,CUST-10699,Dúvida sobre validade dos pontos expirando,Atendimento,WhatsApp,Low,Resolved,2,2024-04-03T10:41:00Z,2024-04-10T10:41:00Z
CASE-500459,CUST-10662,Solicitação de estorno de taxa de transferência,Financeiro,Telefone,High,Closed,3,2024-04-03T18:17:00Z,2024-04-04T18:17:00Z
CASE-500592,CUST-10845,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Reclame Aqui,Medium,Resolved,1,2024-04-04T00:37:00Z,2024-04-10T00:37:00Z
CASE-500707,CUST-10991,Atraso na entrega de produto resgatado,Resgate/Entrega,App Livelo,Medium,Resolved,5,2024-04-04T12:12:00Z,2024-04-10T12:12:00Z
CASE-500056,CUST-10088,Produto entregue com avaria/defeito,Resgate/Entrega,Chat Web,High,Closed,2,2024-04-04T18:17:00Z,2024-04-10T18:17:00Z
CASE-500443,CUST-10642,Voucher de Gift Card com código inválido,Resgate/Entrega,Chat Web,High,Closed,1,2024-04-09T00:40:00Z,2024-04-16T00:40:00Z
CASE-500497,CUST-10703,Produto entregue com avaria/defeito,Resgate/Entrega,Chat Web,Medium,Resolved,5,2024-04-12T04:41:00Z,2024-04-21T04:41:00Z
CASE-500024,CUST-10040,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Telefone,Low,Closed,3,2024-04-12T20:07:00Z,2024-04-18T20:07:00Z
CASE-500411,CUST-10600,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,App Livelo,Low,Closed,4,2024-04-15T10:18:00Z,2024-04-18T10:18:00Z
CASE-500193,CUST-10282,Alteração de endereço de entrega de pedido,Resgate/Entrega,Telefone,Critical,Closed,1,2024-04-19T03:07:00Z,2024-04-24T03:07:00Z
CASE-500308,CUST-10460,Voucher de Gift Card com código inválido,Resgate/Entrega,App Livelo,High,In Progress,1,2024-04-20T12:14:00Z,
CASE-500212,CUST-10318,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Reclame Aqui,High,Escalated,2,2024-04-20T17:04:00Z,
CASE-500495,CUST-10700,Alteração de endereço de entrega de pedido,Resgate/Entrega,WhatsApp,Critical,Escalated,1,2024-04-21T05:40:00Z,
CASE-500189,CUST-10275,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Telefone,High,Closed,5,2024-04-24T17:36:00Z,2024-05-01T17:36:00Z
CASE-500453,CUST-10653,Alteração de endereço de entrega de pedido,Resgate/Entrega,Reclame Aqui,High,Resolved,1,2024-04-25T02:43:00Z,2024-04-29T02:43:00Z
CASE-500545,CUST-10773,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Reclame Aqui,High,In Progress,1,2024-04-25T15:26:00Z,
CASE-500020,CUST-10033,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,High,Closed,5,2024-04-28T06:12:00Z,2024-05-08T06:12:00Z
CASE-500416,CUST-10604,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Chat Web,High,Closed,2,2024-04-28T18:12:00Z,2024-05-03T18:12:00Z
CASE-500587,CUST-10844,Pontos não creditados após compra parceira,Pontuação/Acúmulo,WhatsApp,Low,Closed,5,2024-05-02T19:46:00Z,2024-05-09T19:46:00Z
CASE-500009,CUST-10019,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,High,Closed,4,2024-05-06T10:55:00Z,2024-05-10T10:55:00Z
CASE-500330,CUST-10486,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,High,Closed,2,2024-05-06T14:00:00Z,2024-05-11T14:00:00Z
CASE-500384,CUST-10566,Voucher de Gift Card com código inválido,Resgate/Entrega,Telefone,High,Closed,1,2024-05-08T04:45:00Z,2024-05-16T04:45:00Z
CASE-500496,CUST-10703,Dúvida sobre validade dos pontos expirando,Atendimento,App Livelo,Low,Closed,4,2024-05-09T10:28:00Z,2024-05-15T10:28:00Z
CASE-500091,CUST-10143,Dúvida sobre validade dos pontos expirando,Atendimento,WhatsApp,Low,Closed,3,2024-05-11T07:06:00Z,2024-05-21T07:06:00Z
CASE-500323,CUST-10476,Voucher de Gift Card com código inválido,Resgate/Entrega,WhatsApp,Low,Closed,3,2024-05-16T20:21:00Z,2024-05-26T20:21:00Z
CASE-500575,CUST-10833,Solicitação de estorno de taxa de transferência,Financeiro,App Livelo,Low,In Progress,4,2024-05-17T00:40:00Z,
CASE-500236,CUST-10344,Voucher de Gift Card com código inválido,Resgate/Entrega,Telefone,High,Closed,4,2024-05-20T04:36:00Z,2024-05-24T04:36:00Z
CASE-500166,CUST-10244,Atraso na entrega de produto resgatado,Resgate/Entrega,WhatsApp,Critical,In Progress,1,2024-05-23T06:49:00Z,
CASE-500216,CUST-10319,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,WhatsApp,Critical,In Progress,1,2024-05-27T00:54:00Z,
CASE-500175,CUST-10258,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,WhatsApp,Low,Closed,4,2024-05-28T17:20:00Z,2024-05-31T17:20:00Z
CASE-500451,CUST-10651,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Reclame Aqui,Medium,Resolved,5,2024-05-31T22:17:00Z,2024-06-06T22:17:00Z
CASE-500220,CUST-10324,Solicitação de estorno de taxa de transferência,Financeiro,WhatsApp,Low,Closed,5,2024-06-02T08:59:00Z,2024-06-09T08:59:00Z
CASE-500401,CUST-10590,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Reclame Aqui,Medium,Resolved,3,2024-06-02T13:46:00Z,2024-06-08T13:46:00Z
CASE-500207,CUST-10305,Dúvida sobre validade dos pontos expirando,Atendimento,App Livelo,High,Closed,4,2024-06-05T08:54:00Z,2024-06-15T08:54:00Z
CASE-500568,CUST-10819,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Chat Web,Low,Closed,4,2024-06-09T06:40:00Z,2024-06-17T06:40:00Z
CASE-500529,CUST-10747,Voucher de Gift Card com código inválido,Resgate/Entrega,Reclame Aqui,Medium,In Progress,1,2024-06-10T01:07:00Z,
CASE-500293,CUST-10434,Produto entregue com avaria/defeito,Resgate/Entrega,WhatsApp,High,Closed,2,2024-06-12T19:32:00Z,2024-06-21T19:32:00Z
CASE-500426,CUST-10613,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Chat Web,Low,Closed,4,2024-06-13T12:24:00Z,2024-06-17T12:24:00Z
CASE-500367,CUST-10538,Solicitação de estorno de taxa de transferência,Financeiro,Telefone,Medium,Resolved,4,2024-06-14T19:39:00Z,2024-06-20T19:39:00Z
CASE-500370,CUST-10540,Dúvida sobre validade dos pontos expirando,Atendimento,App Livelo,High,Closed,5,2024-06-16T01:45:00Z,2024-06-26T01:45:00Z
CASE-500127,CUST-10198,Voucher de Gift Card com código inválido,Resgate/Entrega,Reclame Aqui,Medium,Resolved,3,2024-06-16T14:45:00Z,2024-06-24T14:45:00Z
CASE-500430,CUST-10620,Alteração de endereço de entrega de pedido,Resgate/Entrega,WhatsApp,Medium,Resolved,5,2024-06-16T19:43:00Z,2024-06-20T19:43:00Z
CASE-500519,CUST-10731,Voucher de Gift Card com código inválido,Resgate/Entrega,Reclame Aqui,Low,Closed,5,2024-06-27T00:49:00Z,2024-06-30T00:49:00Z
CASE-500344,CUST-10507,Solicitação de estorno de taxa de transferência,Financeiro,WhatsApp,Critical,Closed,1,2024-06-27T10:53:00Z,2024-07-02T10:53:00Z
CASE-500185,CUST-10270,Produto entregue com avaria/defeito,Resgate/Entrega,App Livelo,Low,Closed,5,2024-06-30T22:57:00Z,2024-07-03T22:57:00Z
CASE-500205,CUST-10304,Voucher de Gift Card com código inválido,Resgate/Entrega,Telefone,Low,Closed,4,2024-07-03T20:35:00Z,2024-07-11T20:35:00Z
CASE-500311,CUST-10460,Produto entregue com avaria/defeito,Resgate/Entrega,WhatsApp,Critical,Closed,2,2024-07-03T21:47:00Z,2024-07-07T21:47:00Z
CASE-500670,CUST-10949,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Telefone,Medium,In Progress,1,2024-07-04T16:16:00Z,
CASE-500700,CUST-10984,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Telefone,Medium,Closed,3,2024-07-05T18:57:00Z,2024-07-12T18:57:00Z
CASE-500421,CUST-10607,Voucher de Gift Card com código inválido,Resgate/Entrega,Telefone,Low,Closed,5,2024-07-06T22:04:00Z,2024-07-10T22:04:00Z
CASE-500616,CUST-10884,Dúvida sobre validade dos pontos expirando,Atendimento,App Livelo,Low,Closed,5,2024-07-07T03:25:00Z,2024-07-13T03:25:00Z
CASE-500334,CUST-10490,Atraso na entrega de produto resgatado,Resgate/Entrega,App Livelo,Low,Resolved,5,2024-07-08T20:09:00Z,2024-07-10T20:09:00Z
CASE-500093,CUST-10145,Solicitação de estorno de taxa de transferência,Financeiro,App Livelo,High,Resolved,2,2024-07-09T16:33:00Z,2024-07-13T16:33:00Z
CASE-500279,CUST-10406,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Chat Web,High,Resolved,2,2024-07-12T08:35:00Z,2024-07-22T08:35:00Z
CASE-500658,CUST-10933,Atraso na entrega de produto resgatado,Resgate/Entrega,Telefone,Critical,Closed,2,2024-07-13T11:02:00Z,2024-07-16T11:02:00Z
CASE-500488,CUST-10695,Alteração de endereço de entrega de pedido,Resgate/Entrega,Reclame Aqui,Medium,Closed,5,2024-07-16T01:53:00Z,2024-07-20T01:53:00Z
CASE-500565,CUST-10812,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Reclame Aqui,Medium,Closed,5,2024-07-19T03:30:00Z,2024-07-22T03:30:00Z
CASE-500657,CUST-10933,Dúvida sobre validade dos pontos expirando,Atendimento,App Livelo,Medium,Closed,2,2024-07-19T05:35:00Z,2024-07-21T05:35:00Z
CASE-500140,CUST-10216,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,High,Escalated,2,2024-07-19T21:24:00Z,
CASE-500475,CUST-10680,Atraso na entrega de produto resgatado,Resgate/Entrega,Telefone,Low,Closed,3,2024-07-22T23:53:00Z,2024-07-28T23:53:00Z
CASE-500655,CUST-10931,Solicitação de estorno de taxa de transferência,Financeiro,Reclame Aqui,Medium,Resolved,4,2024-07-23T15:30:00Z,2024-07-27T15:30:00Z
CASE-500178,CUST-10260,Solicitação de estorno de taxa de transferência,Financeiro,Reclame Aqui,Medium,Closed,5,2024-07-27T11:24:00Z,2024-08-06T11:24:00Z
CASE-500425,CUST-10613,Atraso na entrega de produto resgatado,Resgate/Entrega,Chat Web,Medium,Closed,5,2024-07-27T20:24:00Z,2024-07-29T20:24:00Z
CASE-500173,CUST-10256,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,Critical,Escalated,1,2024-07-27T22:30:00Z,
CASE-500111,CUST-10174,Produto entregue com avaria/defeito,Resgate/Entrega,Chat Web,High,Closed,4,2024-07-31T22:15:00Z,2024-08-08T22:15:00Z
CASE-500687,CUST-10963,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,WhatsApp,Medium,Closed,5,2024-08-01T09:15:00Z,2024-08-08T09:15:00Z
CASE-500325,CUST-10483,Solicitação de estorno de taxa de transferência,Financeiro,Chat Web,Critical,Resolved,1,2024-08-01T18:31:00Z,2024-08-07T18:31:00Z
CASE-500174,CUST-10257,Dúvida sobre validade dos pontos expirando,Atendimento,App Livelo,Medium,Resolved,4,2024-08-02T21:05:00Z,2024-08-05T21:05:00Z
CASE-500246,CUST-10354,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Reclame Aqui,High,Closed,1,2024-08-03T07:21:00Z,2024-08-10T07:21:00Z
CASE-500117,CUST-10183,Solicitação de estorno de taxa de transferência,Financeiro,App Livelo,Low,Resolved,3,2024-08-03T17:51:00Z,2024-08-05T17:51:00Z
CASE-500478,CUST-10686,Solicitação de estorno de taxa de transferência,Financeiro,Reclame Aqui,Medium,Resolved,5,2024-08-05T08:17:00Z,2024-08-10T08:17:00Z
CASE-500466,CUST-10669,Alteração de endereço de entrega de pedido,Resgate/Entrega,WhatsApp,Medium,Closed,4,2024-08-05T15:36:00Z,2024-08-14T15:36:00Z
CASE-500061,CUST-10092,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Telefone,Medium,Closed,5,2024-08-20T11:20:00Z,2024-08-30T11:20:00Z
CASE-500394,CUST-10584,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,App Livelo,Low,Closed,5,2024-08-21T06:53:00Z,2024-08-23T06:53:00Z
CASE-500632,CUST-10895,Alteração de endereço de entrega de pedido,Resgate/Entrega,App Livelo,Low,Closed,4,2024-08-31T16:38:00Z,2024-09-08T16:38:00Z
CASE-500126,CUST-10196,Alteração de endereço de entrega de pedido,Resgate/Entrega,Reclame Aqui,High,Closed,5,2024-09-02T02:17:00Z,2024-09-12T02:17:00Z
CASE-500275,CUST-10403,Solicitação de estorno de taxa de transferência,Financeiro,App Livelo,Medium,Closed,3,2024-09-02T08:51:00Z,2024-09-08T08:51:00Z
CASE-500390,CUST-10573,Dúvida sobre validade dos pontos expirando,Atendimento,Chat Web,High,Escalated,2,2024-09-02T16:55:00Z,
CASE-500336,CUST-10493,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Chat Web,Critical,Closed,1,2024-09-04T02:56:00Z,2024-09-07T02:56:00Z
CASE-500631,CUST-10894,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Chat Web,High,Resolved,1,2024-09-06T01:29:00Z,2024-09-09T01:29:00Z
CASE-500227,CUST-10335,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Reclame Aqui,Low,Closed,5,2024-09-06T02:56:00Z,2024-09-11T02:56:00Z
CASE-500563,CUST-10809,Produto entregue com avaria/defeito,Resgate/Entrega,Reclame Aqui,Low,Closed,5,2024-09-07T15:29:00Z,2024-09-09T15:29:00Z
CASE-500480,CUST-10688,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Reclame Aqui,High,Escalated,1,2024-09-09T21:42:00Z,
CASE-500176,CUST-10259,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,Low,Resolved,5,2024-09-10T20:12:00Z,2024-09-19T20:12:00Z
CASE-500382,CUST-10561,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Chat Web,Low,Resolved,5,2024-09-12T17:23:00Z,2024-09-22T17:23:00Z
CASE-500694,CUST-10974,Produto entregue com avaria/defeito,Resgate/Entrega,Reclame Aqui,High,Resolved,3,2024-09-13T00:34:00Z,2024-09-17T00:34:00Z
CASE-500533,CUST-10752,Voucher de Gift Card com código inválido,Resgate/Entrega,Telefone,Critical,In Progress,1,2024-09-17T05:17:00Z,
CASE-500516,CUST-10724,Atraso na entrega de produto resgatado,Resgate/Entrega,Reclame Aqui,High,Resolved,1,2024-09-20T18:38:00Z,2024-09-24T18:38:00Z
CASE-500094,CUST-10148,Voucher de Gift Card com código inválido,Resgate/Entrega,WhatsApp,Low,Resolved,1,2024-09-24T22:39:00Z,2024-09-29T22:39:00Z
CASE-500228,CUST-10336,Produto entregue com avaria/defeito,Resgate/Entrega,Chat Web,Medium,Closed,1,2024-09-25T18:13:00Z,2024-09-28T18:13:00Z
CASE-500540,CUST-10764,Produto entregue com avaria/defeito,Resgate/Entrega,Chat Web,Low,Resolved,5,2024-09-26T01:37:00Z,2024-10-01T01:37:00Z
CASE-500256,CUST-10372,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Chat Web,Critical,Resolved,2,2024-09-27T18:07:00Z,2024-10-05T18:07:00Z
CASE-500528,CUST-10746,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,Medium,Closed,5,2024-09-27T20:10:00Z,2024-10-02T20:10:00Z
CASE-500407,CUST-10597,Voucher de Gift Card com código inválido,Resgate/Entrega,Reclame Aqui,Low,Closed,5,2024-09-28T05:27:00Z,2024-10-03T05:27:00Z
CASE-500644,CUST-10916,Alteração de endereço de entrega de pedido,Resgate/Entrega,Chat Web,Critical,Closed,1,2024-09-30T04:46:00Z,2024-10-02T04:46:00Z
CASE-500177,CUST-10259,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Reclame Aqui,Low,Closed,4,2024-10-01T11:46:00Z,2024-10-10T11:46:00Z
CASE-500539,CUST-10762,Solicitação de estorno de taxa de transferência,Financeiro,Telefone,Medium,Resolved,3,2024-10-03T05:56:00Z,2024-10-10T05:56:00Z
CASE-500649,CUST-10919,Solicitação de estorno de taxa de transferência,Financeiro,Chat Web,Medium,Resolved,1,2024-10-05T19:50:00Z,2024-10-07T19:50:00Z
CASE-500065,CUST-10096,Alteração de endereço de entrega de pedido,Resgate/Entrega,App Livelo,High,Resolved,1,2024-10-06T07:23:00Z,2024-10-14T07:23:00Z
CASE-500666,CUST-10943,Voucher de Gift Card com código inválido,Resgate/Entrega,Chat Web,High,Resolved,1,2024-10-07T15:03:00Z,2024-10-16T15:03:00Z
CASE-500015,CUST-10026,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,Low,Closed,5,2024-10-14T05:50:00Z,2024-10-23T05:50:00Z
CASE-500618,CUST-10888,Solicitação de estorno de taxa de transferência,Financeiro,Telefone,High,In Progress,2,2024-10-14T23:10:00Z,
CASE-500302,CUST-10446,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,Medium,Closed,1,2024-10-18T05:50:00Z,2024-10-23T05:50:00Z
CASE-500398,CUST-10587,Dúvida sobre validade dos pontos expirando,Atendimento,Chat Web,High,Escalated,1,2024-10-18T13:14:00Z,
CASE-500168,CUST-10250,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Reclame Aqui,Medium,Resolved,5,2024-10-19T10:01:00Z,2024-10-21T10:01:00Z
CASE-500582,CUST-10836,Voucher de Gift Card com código inválido,Resgate/Entrega,Chat Web,Critical,Resolved,2,2024-10-19T14:43:00Z,2024-10-24T14:43:00Z
CASE-500262,CUST-10384,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Reclame Aqui,Low,Closed,4,2024-10-20T04:48:00Z,2024-10-23T04:48:00Z
CASE-500490,CUST-10699,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Reclame Aqui,High,In Progress,2,2024-10-20T17:21:00Z,
CASE-500004,CUST-10012,Voucher de Gift Card com código inválido,Resgate/Entrega,Chat Web,Medium,Closed,5,2024-10-21T11:27:00Z,2024-10-23T11:27:00Z
CASE-500211,CUST-10317,Solicitação de estorno de taxa de transferência,Financeiro,Telefone,Low,Resolved,1,2024-10-21T17:15:00Z,2024-10-27T17:15:00Z
CASE-500375,CUST-10549,Produto entregue com avaria/defeito,Resgate/Entrega,Reclame Aqui,Medium,Closed,4,2024-10-22T16:37:00Z,2024-10-28T16:37:00Z
CASE-500088,CUST-10133,Solicitação de estorno de taxa de transferência,Financeiro,Telefone,Critical,In Progress,1,2024-10-23T06:14:00Z,
CASE-500058,CUST-10089,Solicitação de estorno de taxa de transferência,Financeiro,Reclame Aqui,Medium,Closed,5,2024-10-23T10:36:00Z,2024-10-24T10:36:00Z
CASE-500223,CUST-10328,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,High,Resolved,1,2024-10-23T11:40:00Z,2024-11-02T11:40:00Z
CASE-500321,CUST-10473,Produto entregue com avaria/defeito,Resgate/Entrega,App Livelo,Medium,Closed,5,2024-10-23T13:35:00Z,2024-11-02T13:35:00Z
CASE-500564,CUST-10811,Alteração de endereço de entrega de pedido,Resgate/Entrega,Chat Web,High,Closed,5,2024-10-24T08:10:00Z,2024-10-27T08:10:00Z
CASE-500121,CUST-10190,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,Low,In Progress,1,2024-10-25T14:23:00Z,
CASE-500372,CUST-10546,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Telefone,Low,Closed,4,2024-10-27T21:33:00Z,2024-11-01T21:33:00Z
CASE-500096,CUST-10148,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Telefone,Low,Resolved,3,2024-10-29T01:10:00Z,2024-11-08T01:10:00Z
CASE-500292,CUST-10431,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Telefone,Medium,Closed,2,2024-10-30T04:40:00Z,2024-11-08T04:40:00Z
CASE-500077,CUST-10118,Dúvida sobre validade dos pontos expirando,Atendimento,Chat Web,Medium,Closed,4,2024-11-06T22:55:00Z,2024-11-14T22:55:00Z
CASE-500202,CUST-10297,Voucher de Gift Card com código inválido,Resgate/Entrega,Chat Web,Low,Closed,5,2024-11-08T02:53:00Z,2024-11-15T02:53:00Z
CASE-500187,CUST-10273,Produto entregue com avaria/defeito,Resgate/Entrega,Chat Web,Low,Resolved,4,2024-11-08T05:19:00Z,2024-11-14T05:19:00Z
CASE-500675,CUST-10953,Produto entregue com avaria/defeito,Resgate/Entrega,App Livelo,High,In Progress,3,2024-11-11T16:02:00Z,
CASE-500298,CUST-10442,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Reclame Aqui,Critical,Resolved,1,2024-11-12T09:05:00Z,2024-11-13T09:05:00Z
CASE-500199,CUST-10290,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,High,Closed,3,2024-11-15T13:07:00Z,2024-11-25T13:07:00Z
CASE-500677,CUST-10955,Solicitação de estorno de taxa de transferência,Financeiro,WhatsApp,Medium,Closed,5,2024-11-16T03:34:00Z,2024-11-24T03:34:00Z
CASE-500410,CUST-10599,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Chat Web,Low,Closed,5,2024-11-16T14:08:00Z,2024-11-26T14:08:00Z
CASE-500665,CUST-10943,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Reclame Aqui,Low,Resolved,2,2024-11-16T22:16:00Z,2024-11-24T22:16:00Z
CASE-500403,CUST-10593,Solicitação de estorno de taxa de transferência,Financeiro,Telefone,Medium,In Progress,5,2024-11-16T22:22:00Z,
CASE-500204,CUST-10300,Alteração de endereço de entrega de pedido,Resgate/Entrega,Telefone,Low,Closed,3,2024-11-17T05:43:00Z,2024-11-26T05:43:00Z
CASE-500124,CUST-10193,Dúvida sobre validade dos pontos expirando,Atendimento,App Livelo,Medium,In Progress,3,2024-11-17T08:36:00Z,
CASE-500129,CUST-10203,Voucher de Gift Card com código inválido,Resgate/Entrega,WhatsApp,Critical,Escalated,1,2024-11-20T15:09:00Z,
CASE-500371,CUST-10546,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Telefone,Low,Resolved,5,2024-11-23T07:22:00Z,2024-12-03T07:22:00Z
CASE-500244,CUST-10354,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Reclame Aqui,High,Closed,3,2024-11-23T07:42:00Z,2024-12-02T07:42:00Z
CASE-500326,CUST-10483,Dúvida sobre validade dos pontos expirando,Atendimento,App Livelo,High,Closed,2,2024-11-29T01:38:00Z,2024-12-05T01:38:00Z
CASE-500662,CUST-10940,Solicitação de estorno de taxa de transferência,Financeiro,Reclame Aqui,High,In Progress,1,2024-11-29T05:52:00Z,
CASE-500084,CUST-10124,Solicitação de estorno de taxa de transferência,Financeiro,App Livelo,High,Resolved,1,2024-11-29T21:57:00Z,2024-12-05T21:57:00Z
CASE-500454,CUST-10654,Dúvida sobre validade dos pontos expirando,Atendimento,WhatsApp,Medium,Closed,1,2024-11-30T16:27:00Z,2024-12-07T16:27:00Z
CASE-500037,CUST-10059,Dúvida sobre validade dos pontos expirando,Atendimento,WhatsApp,Medium,Closed,5,2024-12-01T00:21:00Z,2024-12-06T00:21:00Z
CASE-500600,CUST-10855,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,App Livelo,Medium,Resolved,4,2024-12-01T10:16:00Z,2024-12-02T10:16:00Z
CASE-500527,CUST-10745,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Telefone,High,Escalated,1,2024-12-04T05:51:00Z,
CASE-500270,CUST-10394,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Reclame Aqui,High,Closed,1,2024-12-06T00:53:00Z,2024-12-15T00:53:00Z
CASE-500069,CUST-10108,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,WhatsApp,High,Resolved,5,2024-12-08T23:38:00Z,2024-12-13T23:38:00Z
CASE-500380,CUST-10557,Produto entregue com avaria/defeito,Resgate/Entrega,Chat Web,High,Closed,3,2024-12-11T12:31:00Z,2024-12-15T12:31:00Z
CASE-500299,CUST-10445,Pontos não creditados após compra parceira,Pontuação/Acúmulo,App Livelo,High,Closed,3,2024-12-14T01:48:00Z,2024-12-15T01:48:00Z
CASE-500679,CUST-10957,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,App Livelo,Low,Resolved,3,2024-12-21T18:33:00Z,2024-12-29T18:33:00Z
CASE-500066,CUST-10097,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,WhatsApp,Medium,Closed,5,2024-12-22T16:16:00Z,2024-12-25T16:16:00Z
CASE-500709,CUST-10994,Atraso na entrega de produto resgatado,Resgate/Entrega,App Livelo,High,Closed,1,2024-12-23T08:47:00Z,2024-12-25T08:47:00Z
CASE-500263,CUST-10385,Alteração de endereço de entrega de pedido,Resgate/Entrega,Chat Web,High,Closed,5,2024-12-24T06:58:00Z,2024-12-31T06:58:00Z
CASE-500532,CUST-10751,Voucher de Gift Card com código inválido,Resgate/Entrega,WhatsApp,Medium,Escalated,2,2024-12-24T14:35:00Z,
CASE-500413,CUST-10603,Atraso na entrega de produto resgatado,Resgate/Entrega,WhatsApp,Low,Closed,5,2024-12-26T09:24:00Z,2024-12-31T09:24:00Z
CASE-500043,CUST-10067,Dúvida sobre validade dos pontos expirando,Atendimento,App Livelo,High,Resolved,1,2024-12-29T06:11:00Z,2025-01-05T06:11:00Z
CASE-500351,CUST-10514,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,WhatsApp,Medium,Closed,5,2024-12-31T05:58:00Z,2025-01-02T05:58:00Z
CASE-500339,CUST-10496,Voucher de Gift Card com código inválido,Resgate/Entrega,Telefone,Medium,Escalated,1,2025-01-01T12:49:00Z,
CASE-500251,CUST-10368,Atraso na entrega de produto resgatado,Resgate/Entrega,Chat Web,Low,Resolved,5,2025-01-03T14:57:00Z,2025-01-06T14:57:00Z
CASE-500109,CUST-10171,Dúvida sobre validade dos pontos expirando,Atendimento,Reclame Aqui,High,Resolved,1,2025-01-03T16:56:00Z,2025-01-07T16:56:00Z
CASE-500131,CUST-10203,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,Medium,Closed,1,2025-01-04T06:09:00Z,2025-01-09T06:09:00Z
CASE-500019,CUST-10032,Dúvida sobre validade dos pontos expirando,Atendimento,WhatsApp,High,Closed,1,2025-01-05T03:15:00Z,2025-01-12T03:15:00Z
CASE-500152,CUST-10234,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Telefone,Medium,Closed,5,2025-01-05T10:06:00Z,2025-01-06T10:06:00Z
CASE-500689,CUST-10970,Pontos não creditados após compra parceira,Pontuação/Acúmulo,App Livelo,Medium,Closed,4,2025-01-08T13:42:00Z,2025-01-14T13:42:00Z
CASE-500316,CUST-10470,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,App Livelo,Medium,Closed,3,2025-01-09T07:12:00Z,2025-01-11T07:12:00Z
CASE-500128,CUST-10200,Pontos não creditados após compra parceira,Pontuação/Acúmulo,App Livelo,Low,Closed,4,2025-01-10T14:53:00Z,2025-01-15T14:53:00Z
